"","type","zone","extent","RLE","EPL","RLE_EPL","realm"
"1","10_N_L","Lower foothill",1972.01022777634,"VU","NP","VU_NP","riv"
"2","10_N_M","Mountain stream",50330.6289617102,"LC","WP","LC_WP","riv"
"3","10_N_U","Upper foothill",142321.496680765,"VU","PP","VU_PP","riv"
"4","10_P_L","Lower foothill",377485.660332358,"VU","PP","VU_PP","riv"
"5","10_P_M","Mountain stream",147597.496265175,"LC","MP","LC_MP","riv"
"6","10_P_U","Upper foothill",902386.940748308,"LC","PP","LC_PP","riv"
"7","11_N_F","Lowland river",259530.876561295,"EN","PP","EN_PP","riv"
"8","11_N_L","Lower foothill",4796280.46726565,"VU","PP","VU_PP","riv"
"9","11_N_M","Mountain stream",62993.2630414656,"LC","PP","LC_PP","riv"
"10","11_N_U","Upper foothill",3394225.29333632,"VU","NP","VU_NP","riv"
"11","11_P_F","Lowland river",4646375.54697109,"VU","PP","VU_PP","riv"
"12","11_P_L","Lower foothill",8442242.96822967,"VU","PP","VU_PP","riv"
"13","11_P_M","Mountain stream",89469.0775173839,"VU","PP","VU_PP","riv"
"14","11_P_U","Upper foothill",2760273.14287727,"VU","PP","VU_PP","riv"
"15","12_N_F","Lowland river",3304.26389859087,"LC","NP","LC_NP","riv"
"16","12_N_L","Lower foothill",179426.663127422,"LC","WP","LC_WP","riv"
"17","12_N_M","Mountain stream",20929.1634595313,"LC","PP","LC_PP","riv"
"18","12_N_U","Upper foothill",264340.081871785,"LC","WP","LC_WP","riv"
"19","12_P_F","Lowland river",27294.6532986104,"CR","PP","CR_PP","riv"
"20","12_P_L","Lower foothill",111408.101476893,"LC","WP","LC_WP","riv"
"21","12_P_M","Mountain stream",2444.03890255562,"LC","NP","LC_NP","riv"
"22","12_P_U","Upper foothill",30389.7219426598,"LC","NP","LC_NP","riv"
"23","13_N_F","Lowland river",63674.2013757959,"EN","WP","EN_WP","riv"
"24","13_N_L","Lower foothill",93345.2696548601,"LC","WP","LC_WP","riv"
"25","13_N_U","Upper foothill",16610.7327366702,"LC","WP","LC_WP","riv"
"26","13_P_F","Lowland river",536552.176927725,"EN","MP","EN_MP","riv"
"27","13_P_L","Lower foothill",215740.101481715,"EN","PP","EN_PP","riv"
"28","13_P_M","Mountain stream",4377.76976835622,"LC","WP","LC_WP","riv"
"29","13_P_U","Upper foothill",91026.6132518822,"EN","PP","EN_PP","riv"
"30","14_N_F","Lowland river",25882.0604649125,"EN","NP","EN_NP","riv"
"31","14_N_L","Lower foothill",311766.013096091,"VU","NP","VU_NP","riv"
"32","14_N_M","Mountain stream",54738.4121435363,"LC","NP","LC_NP","riv"
"33","14_N_U","Upper foothill",458906.134771759,"LC","PP","LC_PP","riv"
"34","14_P_F","Lowland river",472507.060726363,"VU","PP","VU_PP","riv"
"35","14_P_L","Lower foothill",2299388.46057316,"LC","PP","LC_PP","riv"
"36","14_P_M","Mountain stream",309182.278150968,"LC","PP","LC_PP","riv"
