"","RIVTYPE","zone","RLE18","RLE24","RLEsa18","RLEsa24","EPL18","EPL24","RLE_EPL24"
"1","10_N_L","Lower foothill","VU","VU","CR","CR","NP","NP","VU_NP"
"2","10_N_M","Mountain stream","EN","LC","LC","LC","WP","WP","LC_WP"
"3","10_N_U","Upper foothill","EN","LC","CR","CR","PP","PP","LC_PP"
"4","10_P_L","Lower foothill","EN","VU","CR","CR","MP","PP","VU_PP"
"5","10_P_M","Mountain stream","EN","LC","LC","LC","MP","MP","LC_MP"
"6","10_P_U","Upper foothill","EN","LC","EN","EN","MP","PP","LC_PP"
"7","11_N_F","Lowland river","VU","EN","CR","CR","PP","PP","EN_PP"
"8","11_N_L","Lower foothill","LC","EN","CR","CR","PP","PP","EN_PP"
"9","11_N_M","Mountain stream","LC","EN","EN","EN","PP","PP","EN_PP"
"10","11_N_U","Upper foothill","LC","LC","CR","CR","PP","NP","LC_NP"
"11","11_P_F","Lowland river","LC","EN","CR","CR","PP","PP","EN_PP"
"12","11_P_L","Lower foothill","LC","EN","CR","CR","PP","PP","EN_PP"
"13","11_P_M","Mountain stream","LC","LC","EN","CR","PP","PP","LC_PP"
"14","11_P_U","Upper foothill","LC","EN","CR","CR","PP","PP","EN_PP"
"15","12_N_F","Lowland river","LC","LC","LC","LC","NP","NP","LC_NP"
"16","12_N_L","Lower foothill","EN","LC","LC","LC","WP","WP","LC_WP"
"17","12_N_M","Mountain stream","EN","LC","LC","LC","PP","PP","LC_PP"
"18","12_N_U","Upper foothill","EN","LC","LC","LC","WP","WP","LC_WP"
"19","12_P_F","Lowland river","CR","EN","LC","LC","PP","PP","EN_PP"
"20","12_P_L","Lower foothill","EN","EN","VU","VU","WP","WP","EN_WP"
"21","12_P_M","Mountain stream","LC","LC","LC","LC","NP","NP","LC_NP"
"22","12_P_U","Upper foothill","EN","EN","LC","LC","NP","NP","EN_NP"
"23","13_N_F","Lowland river","LC","EN","LC","LC","WP","WP","EN_WP"
"24","13_N_L","Lower foothill","CR","LC","LC","LC","WP","WP","LC_WP"
"25","13_N_U","Upper foothill","CR","LC","LC","LC","WP","WP","LC_WP"
"26","13_P_F","Lowland river","EN","EN","CR","CR","MP","MP","EN_MP"
"27","13_P_L","Lower foothill","EN","EN","CR","CR","PP","PP","EN_PP"
"28","13_P_M","Mountain stream","LC","LC","LC","LC","NP","WP","LC_WP"
"29","13_P_U","Upper foothill","EN","EN","EN","EN","NP","PP","EN_PP"
"30","14_N_F","Lowland river","CR","EN","CR","CR","NP","NP","EN_NP"
"31","14_N_L","Lower foothill","VU","LC","CR","CR","NP","NP","LC_NP"
"32","14_N_M","Mountain stream","VU","LC","LC","LC","NP","NP","LC_NP"
"33","14_N_U","Upper foothill","VU","LC","LC","LC","PP","PP","LC_PP"
"34","14_P_F","Lowland river","VU","VU","LC","EN","NP","PP","VU_PP"
"35","14_P_L","Lower foothill","VU","LC","LC","EN","PP","PP","LC_PP"
"36","14_P_M","Mountain stream","VU","LC","LC","LC","PP","PP","LC_PP"
"37","14_P_U","Upper foothill","VU","LC","LC","LC","PP","PP","LC_PP"
"38","15_N_F","Lowland river","VU","VU","CR","CR","NP","NP","VU_NP"
"39","15_N_L","Lower foothill","LC","EN","CR","CR","NP","NP","EN_NP"
"40","15_N_M","Mountain stream","LC","LC","LC","LC","PP","MP","LC_MP"
"41","15_N_U","Upper foothill","LC","LC","EN","CR","PP","PP","LC_PP"
"42","15_P_F","Lowland river","VU","EN","EN","CR","PP","PP","EN_PP"
"43","15_P_L","Lower foothill","LC","LC","LC","EN","PP","PP","LC_PP"
"44","15_P_M","Mountain stream","LC","LC","LC","LC","WP","WP","LC_WP"
"45","15_P_U","Upper foothill","LC","LC","LC","LC","PP","PP","LC_PP"
"46","16_N_L","Lower foothill","EN","LC","LC","LC","NP","NP","LC_NP"
"47","16_N_M","Mountain stream","LC","LC","LC","LC","NP","NP","LC_NP"
"48","16_N_U","Upper foothill","VU","VU","LC","EN","NP","NP","VU_NP"
"49","16_P_F","Lowland river","VU","EN","CR","CR","PP","NP","EN_NP"
"50","16_P_L","Lower foothill","LC","LC","CR","CR","PP","NP","LC_NP"
"51","16_P_M","Mountain stream","LC","LC","EN","EN","PP","PP","LC_PP"
"52","16_P_U","Upper foothill","LC","LC","EN","EN","PP","NP","LC_NP"
"53","17_N_M","Mountain stream","VU","CR","CR","CR","NP","NP","CR_NP"
"54","17_N_U","Upper foothill","VU","VU","CR","CR","NP","NP","VU_NP"
"55","17_P_F","Lowland river","EN","EN","EN","EN","PP","PP","EN_PP"
"56","17_P_L","Lower foothill","EN","LC","EN","EN","PP","PP","LC_PP"
"57","17_P_M","Mountain stream","EN","LC","EN","EN","PP","NP","LC_NP"
"58","17_P_U","Upper foothill","EN","LC","LC","EN","PP","PP","LC_PP"
"59","18_N_F","Lowland river","VU","EN","CR","CR","NP","NP","EN_NP"
"60","18_N_L","Lower foothill","LC","LC","EN","EN","PP","PP","LC_PP"
"61","18_N_M","Mountain stream","LC","LC","LC","LC","MP","PP","LC_PP"
"62","18_N_U","Upper foothill","LC","LC","EN","EN","MP","PP","LC_PP"
"63","18_P_F","Lowland river","LC","VU","LC","CR","NP","NP","VU_NP"
"64","18_P_L","Lower foothill","VU","EN","CR","CR","PP","PP","EN_PP"
"65","18_P_M","Mountain stream","VU","VU","EN","EN","NP","NP","VU_NP"
"66","18_P_U","Upper foothill","VU","LC","EN","EN","PP","NP","LC_NP"
"67","19_N_F","Lowland river","EN","VU","VU","CR","PP","MP","VU_MP"
"68","19_N_L","Lower foothill","LC","EN","EN","EN","PP","PP","EN_PP"
"69","19_N_M","Mountain stream","LC","LC","LC","LC","WP","WP","LC_WP"
"70","19_N_U","Upper foothill","LC","LC","LC","LC","PP","PP","LC_PP"
"71","19_P_F","Lowland river","VU","EN","CR","CR","NP","NP","EN_NP"
"72","19_P_L","Lower foothill","LC","EN","EN","CR","PP","PP","EN_PP"
"73","19_P_M","Mountain stream","LC","EN","EN","EN","MP","MP","EN_MP"
"74","19_P_U","Upper foothill","LC","EN","EN","EN","PP","PP","EN_PP"
"75","1_N_F","Lowland river","VU","EN","CR","EN","MP","MP","EN_MP"
"76","1_N_L","Lower foothill","VU","LC","EN","EN","MP","MP","LC_MP"
"77","1_N_M","Mountain stream","EN","VU","CR","CR","MP","MP","VU_MP"
"78","1_N_U","Upper foothill","VU","VU","LC","LC","PP","PP","VU_PP"
"79","1_P_F","Lowland river","LC","LC","CR","CR","PP","PP","LC_PP"
"80","1_P_L","Lower foothill","LC","LC","EN","EN","PP","PP","LC_PP"
"81","1_P_M","Mountain stream","CR","LC","LC","LC","WP","WP","LC_WP"
"82","1_P_U","Upper foothill","VU","EN","LC","VU","MP","MP","EN_MP"
"83","20_N_F","Lowland river","EN","VU","CR","CR","MP","MP","VU_MP"
"84","20_N_L","Lower foothill","LC","EN","LC","CR","PP","PP","EN_PP"
"85","20_N_M","Mountain stream","EN","EN","LC","EN","MP","MP","EN_MP"
"86","20_N_U","Upper foothill","LC","EN","LC","CR","MP","PP","EN_PP"
"87","20_P_F","Lowland river","EN","EN","CR","CR","MP","MP","EN_MP"
"88","20_P_L","Lower foothill","LC","EN","EN","EN","MP","PP","EN_PP"
"89","20_P_M","Mountain stream","EN","EN","LC","LC","WP","WP","EN_WP"
"90","20_P_U","Upper foothill","EN","EN","LC","VU","MP","MP","EN_MP"
"91","21_N_F","Lowland river","CR","VU","CR","CR","NP","NP","VU_NP"
"92","21_N_L","Lower foothill","LC","LC","LC","LC","PP","PP","LC_PP"
"93","21_N_M","Mountain stream","LC","LC","LC","LC","PP","PP","LC_PP"
"94","21_N_U","Upper foothill","LC","LC","LC","LC","PP","PP","LC_PP"
"95","21_P_F","Lowland river","CR","CR","CR","CR","PP","NP","CR_NP"
"96","21_P_L","Lower foothill","LC","EN","LC","EN","PP","PP","EN_PP"
"97","21_P_M","Mountain stream","LC","LC","LC","LC","PP","PP","LC_PP"
"98","21_P_U","Upper foothill","LC","LC","LC","LC","NP","NP","LC_NP"
"99","22_N_L","Lower foothill","EN","EN","CR","CR","PP","NP","EN_NP"
"100","22_N_M","Mountain stream","EN","EN","CR","CR","PP","PP","EN_PP"
"101","22_N_U","Upper foothill","EN","EN","CR","CR","NP","NP","EN_NP"
"102","22_P_F","Lowland river","EN","EN","CR","CR","PP","PP","EN_PP"
"103","22_P_L","Lower foothill","EN","EN","CR","CR","PP","PP","EN_PP"
"104","22_P_M","Mountain stream","EN","EN","CR","CR","MP","MP","EN_MP"
"105","22_P_U","Upper foothill","VU","EN","CR","CR","PP","PP","EN_PP"
"106","23_N_F","Lowland river","CR","CR","CR","CR","PP","PP","CR_PP"
"107","23_N_L","Lower foothill","EN","EN","CR","CR","NP","NP","EN_NP"
"108","23_N_M","Mountain stream","EN","EN","LC","LC","WP","WP","EN_WP"
"109","23_N_U","Upper foothill","EN","EN","LC","VU","PP","PP","EN_PP"
"110","23_P_F","Lowland river","LC","EN","EN","EN","NP","NP","EN_NP"
"111","23_P_L","Lower foothill","EN","EN","VU","EN","PP","PP","EN_PP"
"112","23_P_M","Mountain stream","EN","EN","LC","EN","WP","MP","EN_MP"
"113","23_P_U","Upper foothill","EN","EN","LC","EN","MP","MP","EN_MP"
"114","24_N_F","Lowland river","EN","EN","CR","CR","NP","NP","EN_NP"
"115","24_N_L","Lower foothill","EN","EN","CR","CR","PP","PP","EN_PP"
"116","24_N_M","Mountain stream","EN","EN","CR","CR","PP","PP","EN_PP"
"117","24_N_U","Upper foothill","EN","EN","CR","CR","NP","NP","EN_NP"
"118","24_P_F","Lowland river","EN","EN","CR","CR","PP","PP","EN_PP"
"119","24_P_L","Lower foothill","VU","EN","CR","CR","PP","PP","EN_PP"
"120","24_P_M","Mountain stream","EN","EN","EN","EN","MP","MP","EN_MP"
"121","24_P_U","Upper foothill","EN","EN","CR","CR","PP","PP","EN_PP"
"122","25_N_F","Lowland river","LC","CR","LC","LC","MP","MP","CR_MP"
"123","25_N_L","Lower foothill","VU","LC","LC","LC","MP","MP","LC_MP"
"124","25_N_M","Mountain stream","VU","EN","LC","LC","PP","PP","EN_PP"
"125","25_N_U","Upper foothill","LC","VU","LC","LC","PP","PP","VU_PP"
"126","25_P_F","Lowland river","VU","EN","CR","CR","NP","NP","EN_NP"
"127","25_P_L","Lower foothill","EN","LC","LC","LC","PP","PP","LC_PP"
"128","26_N_F","Lowland river","LC","LC","LC","LC","NP","PP","LC_PP"
"129","26_N_L","Lower foothill","LC","LC","LC","LC","NP","NP","LC_NP"
"130","26_N_M","Mountain stream","LC","LC","LC","LC","PP","PP","LC_PP"
"131","26_N_U","Upper foothill","LC","LC","LC","LC","NP","PP","LC_PP"
"132","26_P_F","Lowland river","LC","EN","CR","CR","PP","PP","EN_PP"
"133","26_P_L","Lower foothill","LC","EN","EN","EN","PP","NP","EN_NP"
"134","26_P_M","Mountain stream","VU","EN","CR","CR","MP","MP","EN_MP"
"135","26_P_U","Upper foothill","LC","EN","EN","EN","NP","NP","EN_NP"
"136","27_N_F","Lowland river","LC","LC","LC","LC","NP","NP","LC_NP"
"137","27_N_L","Lower foothill","LC","VU","LC","LC","PP","PP","VU_PP"
"138","27_N_M","Mountain stream","LC","LC","LC","LC","MP","MP","LC_MP"
"139","27_N_U","Upper foothill","LC","VU","LC","LC","PP","PP","VU_PP"
"140","28_N_L","Lower foothill","LC","LC","LC","LC","MP","PP","LC_PP"
"141","28_N_M","Mountain stream","LC","VU","LC","LC","WP","WP","VU_WP"
"142","28_N_U","Upper foothill","LC","VU","LC","LC","MP","MP","VU_MP"
"143","28_P_F","Lowland river","LC","VU","LC","CR","MP","PP","VU_PP"
"144","28_P_L","Lower foothill","LC","VU","LC","CR","PP","PP","VU_PP"
"145","28_P_U","Upper foothill","LC","VU","LC","CR","WP","MP","VU_MP"
"146","29_N_F","Lowland river","LC","LC","LC","LC","PP","PP","LC_PP"
"147","29_N_L","Lower foothill","LC","LC","LC","LC","NP","NP","LC_NP"
"148","29_N_M","Mountain stream","LC","LC","LC","LC","NP","NP","LC_NP"
"149","29_N_U","Upper foothill","LC","LC","LC","LC","NP","NP","LC_NP"
"150","29_P_F","Lowland river","LC","EN","EN","CR","PP","NP","EN_NP"
"151","29_P_L","Lower foothill","LC","EN","EN","EN","PP","NP","EN_NP"
"152","29_P_U","Upper foothill","EN","EN","CR","CR","NP","NP","EN_NP"
"153","2_N_F","Lowland river","CR","VU","CR","CR","PP","PP","VU_PP"
"154","2_N_L","Lower foothill","LC","LC","LC","EN","MP","MP","LC_MP"
"155","2_N_M","Mountain stream","EN","LC","EN","EN","PP","PP","LC_PP"
"156","2_N_U","Upper foothill","EN","LC","CR","CR","PP","PP","LC_PP"
"157","2_P_F","Lowland river","VU","VU","CR","CR","MP","MP","VU_MP"
"158","2_P_L","Lower foothill","VU","EN","CR","CR","MP","MP","EN_MP"
"159","2_P_M","Mountain stream","CR","EN","CR","CR","PP","PP","EN_PP"
"160","2_P_U","Upper foothill","EN","EN","CR","CR","PP","PP","EN_PP"
"161","30_N_F","Lowland river","CR","EN","CR","VU","NP","NP","EN_NP"
"162","30_N_L","Lower foothill","VU","LC","LC","LC","NP","NP","LC_NP"
"163","30_N_M","Mountain stream","EN","LC","EN","LC","PP","PP","LC_PP"
"164","30_N_U","Upper foothill","VU","LC","LC","LC","NP","NP","LC_NP"
"165","31_N_M","Mountain stream","LC","LC","LC","LC","NP","NP","LC_NP"
"166","31_N_U","Upper foothill","EN","LC","EN","EN","NP","NP","LC_NP"
"167","31_P_F","Lowland river","LC","EN","EN","CR","PP","NP","EN_NP"
"168","31_P_L","Lower foothill","VU","LC","LC","LC","PP","PP","LC_PP"
"169","31_P_M","Mountain stream","LC","LC","LC","LC","NP","NP","LC_NP"
"170","31_P_U","Upper foothill","LC","VU","LC","LC","NP","NP","VU_NP"
"171","3_N_F","Lowland river","VU","LC","CR","EN","PP","WP","LC_WP"
"172","3_N_L","Lower foothill","LC","LC","LC","LC","WP","WP","LC_WP"
"173","3_N_M","Mountain stream","LC","LC","LC","LC","MP","MP","LC_MP"
